date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:54	10931/10931	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:05%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-4.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-4.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:54	11453/11453	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:05%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-5.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-5.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:55	11717/11717	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:05%20GMT	https://inovatik.com/leno-landing-page/images/testimonial-6.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/testimonial-6.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:55	47891/47891	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:56%20GMT	https://inovatik.com/leno-landing-page/images/features-iphone-1.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/features-iphone-1.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:56	71631/71631	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:57%20GMT	https://inovatik.com/leno-landing-page/images/features-iphone-2.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/features-iphone-2.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:56	50055/50055	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:57%20GMT	https://inovatik.com/leno-landing-page/images/features-iphone-3.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/features-iphone-3.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:56	82470/82470	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:07%20GMT	https://inovatik.com/leno-landing-page/images/video-frame.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/video-frame.jpg	(from https://inovatik.com/leno-landing-page/index.html)
00:21:57	39345/39345	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:52%20GMT	https://inovatik.com/leno-landing-page/images/details-1-iphone.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/details-1-iphone.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:57	63745/63745	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:53%20GMT	https://inovatik.com/leno-landing-page/images/details-2-iphone.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/details-2-iphone.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:57	57324/57324	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:53%20GMT	https://inovatik.com/leno-landing-page/images/details-lightbox-1.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/details-lightbox-1.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:57	44699/44699	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:54%20GMT	https://inovatik.com/leno-landing-page/images/details-lightbox-2.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/details-lightbox-2.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:57	43164/43164	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:59%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-1.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-1.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:58	83741/83741	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:00%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-2.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-2.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:58	56129/56129	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:00%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-3.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-3.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:58	36565/36565	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:01%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-4.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-4.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:59	75474/75474	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:01%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-5.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-5.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:59	58699/58699	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:02%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-6.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-6.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:59	50733/50733	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:02%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-7.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-7.png	(from https://inovatik.com/leno-landing-page/index.html)
00:21:59	43788/43788	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:03%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-8.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-8.png	(from https://inovatik.com/leno-landing-page/index.html)
00:22:00	60381/60381	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:03%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-9.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-9.png	(from https://inovatik.com/leno-landing-page/index.html)
00:22:00	77950/77950	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:59%20GMT	https://inovatik.com/leno-landing-page/images/screenshot-10.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/screenshot-10.png	(from https://inovatik.com/leno-landing-page/index.html)
00:22:01	86927/86927	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:09%20GMT	https://inovatik.com/leno-landing-page/js/jquery.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/jquery.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:01	21003/21003	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:10%20GMT	https://inovatik.com/leno-landing-page/js/popper.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/popper.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:01	95052/95052	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:55%20GMT	https://inovatik.com/leno-landing-page/images/download.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/download.png	(from https://inovatik.com/leno-landing-page/index.html)
00:22:01	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:08%20GMT	https://inovatik.com/leno-landing-page/js/bootstrap.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/bootstrap.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:01	5958/5958	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:09%20GMT	https://inovatik.com/leno-landing-page/js/jquery.easing.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/jquery.easing.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:02	21680/21680	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:09%20GMT	https://inovatik.com/leno-landing-page/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/jquery.magnific-popup.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:02	125617/125617	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:11%20GMT	https://inovatik.com/leno-landing-page/js/swiper.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/swiper.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:02	1014/1014	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:10%20GMT	https://inovatik.com/leno-landing-page/js/morphext.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/morphext.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:03	8953/8953	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:12%20GMT	https://inovatik.com/leno-landing-page/js/validator.min.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/validator.min.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:03	11055/11055	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jan%202020%2013:39:11%20GMT	https://inovatik.com/leno-landing-page/js/scripts.js	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/js/scripts.js	(from https://inovatik.com/leno-landing-page/index.html)
00:22:04	111620/111620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:14%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:04	111620/111620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:14%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400d41d.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:05	61336/61336	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Jan%202020%2013:39:18%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400.woff2	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:05	71560/71560	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Jan%202020%2013:39:16%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400.woff	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:05	31272/31272	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:18%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:05	111384/111384	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20Jan%202020%2013:39:16%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400.ttf	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:05	31272/31272	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:18%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400d41d.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:06	599834/599834	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202020%2013:39:15%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-brands-400.svg	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:06	12188/12188	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Jan%202020%2013:39:20%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400.woff2	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:06	14724/14724	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Jan%202020%2013:39:19%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400.woff	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:06	31044/31044	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20Jan%202020%2013:39:19%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400.ttf	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:07	104706/104706	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202020%2013:39:19%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-regular-400.svg	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:07	133140/133140	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:21%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:08	133140/133140	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Jan%202020%2013:39:21%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900d41d.eot	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:08	50372/50372	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Jan%202020%2013:39:23%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900.woff2	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:08	63836/63836	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Jan%202020%2013:39:23%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900.woff	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:08	1066/1066	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:38:54%20GMT	https://inovatik.com/leno-landing-page/images/down-arrow.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/down-arrow.png	(from https://inovatik.com/leno-landing-page/css/styles.css)
00:22:09	132920/132920	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20Jan%202020%2013:39:22%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900.ttf	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:09	488395/488395	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202020%2013:39:22%20GMT	https://inovatik.com/leno-landing-page/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/webfonts/fa-solid-900.svg	(from https://inovatik.com/leno-landing-page/css/fontawesome-all.css)
00:22:09	83035/83035	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:38:58%20GMT	https://inovatik.com/leno-landing-page/images/header-background.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/header-background.jpg	(from https://inovatik.com/leno-landing-page/css/styles.css)
00:22:09	83035/83035	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:38:55%20GMT	https://inovatik.com/leno-landing-page/images/download-background.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/download-background.jpg	(from https://inovatik.com/leno-landing-page/css/styles.css)
00:22:10	83035/83035	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:39:06%20GMT	https://inovatik.com/leno-landing-page/images/video-background.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/video-background.jpg	(from https://inovatik.com/leno-landing-page/css/styles.css)
00:22:10	40590/40590	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2013:38:52%20GMT	https://inovatik.com/leno-landing-page/images/contact-background.jpg	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/contact-background.jpg	(from https://inovatik.com/leno-landing-page/css/styles.css)
00:22:10	1130/1130	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2013:39:06%20GMT	https://inovatik.com/leno-landing-page/images/up-arrow.png	C:/My%20Web%20Sites/applanding4/inovatik.com/leno-landing-page/images/up-arrow.png	(from https://inovatik.com/leno-landing-page/css/styles.css)
